seed,N,n_tests,n_eff,mean_red,cimd_alpha_mean,cimd_alpha_std,cimd_alpha_cv,ratio_min,ratio_max,ratio_mean,shd_van,prec_van,rec_van,f1_van,shd_bonf,prec_bonf,rec_bonf,f1_bonf,shd_cimd,prec_cimd,rec_cimd,f1_cimd,cimd_time
7,1000,106641,33318.341904858346,0.6875653650579201,5.0309026503455035e-06,1.3830739341481437e-05,2.749156623122412,1.0,300.02167195582103,10.7300097907099,1,0.9411764705882353,1.0,0.9696969696969697,1,1.0,0.9375,0.967741935483871,1,1.0,0.9375,0.967741935483871,3.1919729709625244
7,2000,106641,37369.30893913753,0.649578408500131,7.59960780465366e-06,3.7190788985887685e-05,4.893777408238582,1.0,697.0,16.208595517921417,2,0.8888888888888888,1.0,0.9411764705882353,1,1.0,0.9375,0.967741935483871,1,1.0,0.9375,0.967741935483871,2.7699227333068848
7,3500,106641,42980.811168803906,0.5969579132903489,6.991399318271396e-06,3.715617082244396e-05,5.314554230272563,1.0,697.0,14.9113962939956,3,0.8421052631578947,1.0,0.9142857142857143,1,1.0,0.9375,0.967741935483871,1,1.0,0.9375,0.967741935483871,2.5937180519104004
7,5000,106641,45251.00230066585,0.5756697489646023,5.89292196231213e-06,2.8854554038117053e-05,4.89647652262406,1.0,697.0,12.568541819658554,2,0.8888888888888888,1.0,0.9411764705882353,0,1.0,1.0,1.0,0,1.0,1.0,1.0,3.237352132797241
8,500,106641,33768.8831822514,0.6833405239799759,5.048845863667656e-06,1.764457692422211e-05,3.4947743307426857,1.0,424.5792603809912,10.768279434947647,1,0.9473684210526315,1.0,0.972972972972973,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.6492481231689453
8,1000,106641,33390.538513367836,0.6868883589485486,7.513696668368576e-06,3.0307289710384276e-05,4.033605700104047,1.0,697.0,16.025362528229866,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.5524091720581055
8,2000,106641,38263.29757433262,0.641195247847145,8.262716881367231e-06,3.882237548334823e-05,4.6985000261710885,1.0,697.0,17.62288781891765,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.6436872482299805
8,3500,106641,38317.92646510873,0.6406829787313629,9.491605074336441e-06,4.291376331739287e-05,4.521233551259293,1.0,697.0,20.24388513464625,1,0.9473684210526315,1.0,0.972972972972973,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.715942859649658
8,5000,106641,43902.937065538776,0.588310902321445,8.35027407914701e-06,3.790688600699387e-05,4.539597820107254,1.0,697.0,17.80963156148632,3,0.8571428571428571,1.0,0.923076923076923,0,1.0,1.0,1.0,0,1.0,1.0,1.0,2.6837120056152344
9,500,106641,30603.431929468104,0.7130237720063756,4.450984165205473e-06,1.4287998557614317e-05,3.210076249946563,1.0,348.28294694660184,9.493148047233536,2,0.9411764705882353,0.9411764705882353,0.9411764705882353,1,1.0,0.9411764705882353,0.9696969696969697,1,1.0,0.9411764705882353,0.9696969696969697,2.815462350845337
